semester_code,course_code,ga,assessment_title,status,rubric_url,notes
7660,MGTS3609,GA5,A2: Group Presentation,Active,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS3609/MGTS3609%20A2%20Groupwork%20RUBRIC.docx,
7620,MGTS7301,GA3,A3 Individual Reflection (S1 2026),Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS7301/MGTS7301%20Assessment%203%20Business%20Tools%20For%20Making%20Decisions%20rubric.pdf,
7660,MGTS3610,,,TBD,,
7660,MGTS4602,GA6,A2: Four Frames Individual Report,Active,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS4602/MGTS4602_A2_Rubric_GA6%20(1).docx,
7620,MGTS4603,GA5,A1: Critical Analysis Presentation,Active,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS4603/MGTS4603_A1_Rubric_GA5.pdf,
7620,MGTS4603,GA1,A2: Research Proposal,Active,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS4603/MGTS4603_A2_Rubric_GA1.pdf,
7660,TIMS1301,GA3,A1 Understanding the Customer Problem,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/TIMS1301/TIMS1301%20A1%20rubric.pdf,
7660,MGTS7523,GA5,A2 Systems Thinking Presentation (group),Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS7523/MGTS7523%20Assessment%202%20-%20Rubric%20(Presentation).pdf,
7660,MGTS7527,GA2,A1 Team Project Plan (30%),Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS7527/MGTS7527%20A1%20Rubric.pdf,
7660,MGTS7601,GA5,A1: Case Analysis Presentation (Group),Active,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS7601/MGTS7601_A1_Rubric%20(GA5).pdf,
7660,MGTS7601,GA6,A2: Critical Reflection: Indigeneity At Work (Individual),Active,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS7601/MGTS7601_A2_Rubric%20(GA6).pdf,
